Class,IS for normalization (main) POS,IS for normalization (option 1) POS,IS for normalization (option 2) POS,IS for normalization (option 3) POS,IS for normalization (option 4) POS,IS for normalization (main) NEG,IS for normalization (option 1) NEG,IS for normalization (option 2) NEG,IS for normalization (option 3) NEG
SL,[D9]DG 16:0_16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D9]DG 16:0_16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1
SLBPA,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0
SM,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1
SPB,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
SPBP,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1
SQDG,[D9]DG 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]DG 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0
SQMG,[D7]MG 18:1,[D9]DG 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]MG 18:1,[D9]DG 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
ST,[D6]ST 27:1;O,[D3]FA 20:0,[D7]MG 18:1,[D9]DG 16:0_16:0,[D7]LPC 18:1,[D6]ST 27:1;O,[D3]FA 20:0,[D7]MG 18:1,[D9]DG 16:0_16:0
SulfateHexSPB,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
TG,[D9]TG 16:0_16:0_16:0,[D9]DG 16:0_16:0,[D7]CE 16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D9]DG 16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
WE,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
